Fila,Nombre,Tipo,Coordenadas
1414,La Casa del Radiador,UBICACION_COMPARTIDA,"-32.4864761, -58.249943"
174,Dolores Costa,UBICACION_COMPARTIDA,"-32.48671, -58.24814"
620,Rotisería Vero Sabores,UBICACION_COMPARTIDA,"-32.48652, -58.24801"
208,Garden Truck,UBICACION_COMPARTIDA,"-32.4862632, -58.2467414"
614,El Fogón de Gabriel,UBICACION_COMPARTIDA,"-32.48657, -58.24673"
187,House Garage,UBICACION_COMPARTIDA,"-32.48641, -58.24578"
1379,Taller CBS Moto,UBICACION_COMPARTIDA,"-32.4863252, -58.2459647"
836,Lubricentro Arcore,UBICACION_COMPARTIDA,"-32.48665, -58.24272"
886,Farmacia Alba,UBICACION_COMPARTIDA,"-32.48637, -58.24272"
932,Banchik León SA,UBICACION_COMPARTIDA,"-32.48664, -58.24263"
480,Estudio Jurídico Almeyra & Klug,UBICACION_COMPARTIDA,"-32.48639, -58.24184"
493,Ropelato Construction Materials - Corralón,UBICACION_COMPARTIDA,"-32.48642, -58.24202"
503,Pinturería Arco Iris,UBICACION_COMPARTIDA,"-32.4864, -58.24193"
507,Electro Aguirre SRL,UBICACION_COMPARTIDA,"-32.48641, -58.24196"
1055,Pizzería Los Presidentes,UBICACION_COMPARTIDA,"-32.48657, -58.24216"
1135,Barberia LC,UBICACION_COMPARTIDA,"-32.4865269, -58.2421053"
548,New History Calzado Unisex,UBICACION_COMPARTIDA,"-32.48635, -58.24162"
729,Zona Tech Concepción,UBICACION_COMPARTIDA,"-32.48632, -58.24147"
